DATE,CUUR0000SETB01
1935-03-01,13.200
1935-04-01,.
1935-05-01,.
1935-06-01,.
1935-07-01,13.500
1935-08-01,.
1935-09-01,.
1935-10-01,12.800
1935-11-01,.
1935-12-01,.
1936-01-01,13.000
1936-02-01,.
1936-03-01,.
1936-04-01,13.400
1936-05-01,.
1936-06-01,.
1936-07-01,13.900
1936-08-01,.
1936-09-01,13.900
1936-10-01,.
1936-11-01,.
1936-12-01,13.900
1937-01-01,.
1937-02-01,.
1937-03-01,14.300
1937-04-01,.
1937-05-01,.
1937-06-01,14.300
1937-07-01,.
1937-08-01,.
1937-09-01,14.300
1937-10-01,.
1937-11-01,.
1937-12-01,14.000
1938-01-01,.
1938-02-01,.
1938-03-01,13.900
1938-04-01,.
1938-05-01,.
1938-06-01,14.000
1938-07-01,.
1938-08-01,.
1938-09-01,13.800
1938-10-01,.
1938-11-01,.
1938-12-01,13.200
1939-01-01,.
1939-02-01,.
1939-03-01,12.700
1939-04-01,.
1939-05-01,.
1939-06-01,12.800
1939-07-01,.
1939-08-01,.
1939-09-01,13.100
1939-10-01,.
1939-11-01,.
1939-12-01,13.200
1940-01-01,.
1940-02-01,.
1940-03-01,13.000
1940-04-01,.
1940-05-01,.
1940-06-01,12.500
1940-07-01,.
1940-08-01,.
1940-09-01,12.700
1940-10-01,12.500
1940-11-01,12.500
1940-12-01,12.400
1941-01-01,12.500
1941-02-01,12.500
1941-03-01,12.600
1941-04-01,12.800
1941-05-01,13.100
1941-06-01,13.600
1941-07-01,13.700
1941-08-01,13.700
1941-09-01,13.900
1941-10-01,13.900
1941-11-01,13.800
1941-12-01,13.800
1942-01-01,13.900
1942-02-01,13.900
1942-03-01,13.900
1942-04-01,14.100
1942-05-01,14.100
1942-06-01,14.300
1942-07-01,14.600
1942-08-01,14.000
1942-09-01,14.100
1942-10-01,14.100
1942-11-01,14.100
1942-12-01,14.200
1943-01-01,14.200
1943-02-01,14.200
1943-03-01,14.200
1943-04-01,14.200
1943-05-01,14.200
1943-06-01,14.200
1943-07-01,14.300
1943-08-01,14.300
1943-09-01,14.300
1943-10-01,14.300
1943-11-01,14.300
1943-12-01,14.300
1944-01-01,14.300
1944-02-01,14.300
1944-03-01,14.300
1944-04-01,14.300
1944-05-01,14.300
1944-06-01,14.300
1944-07-01,14.300
1944-08-01,14.300
1944-09-01,14.300
1944-10-01,14.300
1944-11-01,14.300
1944-12-01,14.300
1945-01-01,14.300
1945-02-01,14.300
1945-03-01,14.300
1945-04-01,14.300
1945-05-01,14.300
1945-06-01,14.300
1945-07-01,14.300
1945-08-01,14.300
1945-09-01,14.300
1945-10-01,14.100
1945-11-01,14.100
1945-12-01,14.100
1946-01-01,14.100
1946-02-01,14.100
1946-03-01,14.100
1946-04-01,14.100
1946-05-01,14.100
1946-06-01,14.100
1946-07-01,14.100
1946-08-01,14.900
1946-09-01,15.100
1946-10-01,15.100
1946-11-01,15.100
1946-12-01,15.200
1947-01-01,15.200
1947-02-01,15.400
1947-03-01,15.700
1947-04-01,.
1947-05-01,.
1947-06-01,16.300
1947-07-01,.
1947-08-01,.
1947-09-01,16.900
1947-10-01,.
1947-11-01,17.300
1947-12-01,17.700
1948-01-01,.
1948-02-01,.
1948-03-01,18.600
1948-04-01,.
1948-05-01,.
1948-06-01,18.600
1948-07-01,.
1948-08-01,.
1948-09-01,18.600
1948-10-01,.
1948-11-01,.
1948-12-01,18.800
1949-01-01,.
1949-02-01,.
1949-03-01,19.000
1949-04-01,.
1949-05-01,.
1949-06-01,19.200
1949-07-01,.
1949-08-01,.
1949-09-01,19.300
1949-10-01,.
1949-11-01,.
1949-12-01,19.100
1950-01-01,.
1950-02-01,.
1950-03-01,18.600
1950-04-01,.
1950-05-01,.
1950-06-01,18.800
1950-07-01,.
1950-08-01,.
1950-09-01,19.100
1950-10-01,.
1950-11-01,.
1950-12-01,19.400
1951-01-01,.
1951-02-01,.
1951-03-01,19.500
1951-04-01,.
1951-05-01,.
1951-06-01,19.500
1951-07-01,.
1951-08-01,.
1951-09-01,19.300
1951-10-01,.
1951-11-01,.
1951-12-01,19.800
1952-01-01,.
1952-02-01,.
1952-03-01,20.000
1952-04-01,.
1952-05-01,.
1952-06-01,20.100
1952-07-01,.
1952-08-01,.
1952-09-01,20.200
1952-10-01,.
1952-11-01,.
1952-12-01,19.900
1953-01-01,.
1953-02-01,.
1953-03-01,20.700
1953-04-01,.
1953-05-01,.
1953-06-01,20.900
1953-07-01,.
1953-08-01,.
1953-09-01,22.000
1953-10-01,.
1953-11-01,.
1953-12-01,21.900
1954-01-01,.
1954-02-01,.
1954-03-01,21.900
1954-04-01,.
1954-05-01,.
1954-06-01,21.800
1954-07-01,.
1954-08-01,.
1954-09-01,21.600
1954-10-01,.
1954-11-01,.
1954-12-01,21.600
1955-01-01,.
1955-02-01,.
1955-03-01,21.800
1955-04-01,.
1955-05-01,.
1955-06-01,22.100
1955-07-01,.
1955-08-01,.
1955-09-01,22.300
1955-10-01,.
1955-11-01,.
1955-12-01,22.500
1956-01-01,.
1956-02-01,.
1956-03-01,22.500
1956-04-01,.
1956-05-01,.
1956-06-01,22.700
1956-07-01,.
1956-08-01,.
1956-09-01,23.400
1956-10-01,.
1956-11-01,.
1956-12-01,23.200
1957-01-01,23.300
1957-02-01,23.800
1957-03-01,24.000
1957-04-01,24.000
1957-05-01,23.900
1957-06-01,23.900
1957-07-01,24.000
1957-08-01,23.600
1957-09-01,23.700
1957-10-01,23.600
1957-11-01,23.800
1957-12-01,23.700
1958-01-01,23.800
1958-02-01,23.100
1958-03-01,23.400
1958-04-01,23.100
1958-05-01,23.400
1958-06-01,23.300
1958-07-01,23.800
